feature,mean_abs_shap,rank
anemia_risk_score,1.4437515691781437,1
specific_gravity,1.2314800753278856,2
cardiovascular_burden_score,1.047295227880252,3
hemoglobin_creatinine_ratio,0.9841746998791383,4
hemoglobin,0.5302600917045676,5
albumin,0.3767495584214465,6
albumin_specific_gravity_interaction,0.3471693371733531,7
urea_creatinine_product,0.28792813971874454,8
age_creatinine_interaction,0.2769692957842736,9
packed_cell_volume,0.27006761299581844,10
serum_creatinine,0.21871985660291077,11
diabetes_mellitus,0.21653317955356136,12
hypertension,0.1729511093953512,13
bun_creatinine_ratio,0.1249534255880381,14
red_blood_cell_count,0.1239583386515783,15
sodium,0.0884120379799517,16
blood_urea,0.08213859961013989,17
blood_glucose_random,0.061407715357496076,18
sodium_potassium_ratio,0.0355153812031055,19
potassium,0.031139546456357893,20
white_blood_cell_count,0.029497051081297375,21
blood_pressure,0.013382635285291522,22
bp_risk_score,0.0077899887742104105,23
