feature,mean_abs_shap,rank
anemia_risk_score,1.504941332292947,1
cardiovascular_burden_score,1.4309183895003117,2
specific_gravity,1.1884940329135785,3
hemoglobin_creatinine_ratio,1.0095110293579743,4
albumin,0.6204862915915331,5
hemoglobin,0.4851694326255558,6
bun_creatinine_ratio,0.2523442287934512,7
blood_glucose_random,0.21641000360699664,8
red_blood_cell_count,0.20322222809223386,9
albumin_specific_gravity_interaction,0.17196034150071354,10
serum_creatinine,0.1284829352557278,11
age_creatinine_interaction,0.11950130758667962,12
sodium,0.10869920056272124,13
sodium_potassium_ratio,0.09993531856710833,14
white_blood_cell_count,0.05924159065628944,15
blood_urea,0.03457676409969247,16
urea_creatinine_product,0.03352277922242829,17
potassium,0.03165652652125443,18
packed_cell_volume,0.008986083702312212,19
blood_pressure,0.0,20
hypertension,0.0,21
diabetes_mellitus,0.0,22
bp_risk_score,0.0,23
