feature,mean_abs_shap,rank
white_blood_cell_count,59.816077723060154,1
blood_glucose_random,40.26615383480895,2
urea_creatinine_product,25.28801098896094,3
hemoglobin_creatinine_ratio,16.437700686818896,4
blood_urea,15.781478750909576,5
potassium,11.958221713495615,6
albumin_specific_gravity_interaction,10.834124627757026,7
albumin,10.758169577397728,8
specific_gravity,10.361917952671428,9
hemoglobin,9.603689274818866,10
diabetes_mellitus,9.065933606066087,11
packed_cell_volume,8.95472110518065,12
bun_creatinine_ratio,7.874050327183336,13
anemia_risk_score,7.822876230297067,14
cardiovascular_burden_score,7.632784430872834,15
sodium_potassium_ratio,7.508572644024407,16
red_blood_cell_count,7.288762937075887,17
age_creatinine_interaction,6.8262305033686035,18
hypertension,6.354439703655925,19
serum_creatinine,6.337220648158016,20
appetite,5.024058297982349,21
blood_pressure,3.5118639546899724,22
bp_risk_score,3.5118639546899724,23
sodium,3.2202990019939564,24
