feature,mean_abs_shap,rank
anemia_risk_score,0.09965502906623676,1
hemoglobin,0.05449523236970651,2
hemoglobin_creatinine_ratio,0.05197400658475424,3
specific_gravity,0.04711400923648642,4
packed_cell_volume,0.04226333870245337,5
cardiovascular_burden_score,0.04222189237460908,6
age_creatinine_interaction,0.02703030123763155,7
serum_creatinine,0.025550274825717922,8
albumin,0.023756036105453047,9
red_blood_cell_count,0.021100300779206528,10
albumin_specific_gravity_interaction,0.019700806980918653,11
diabetes_mellitus,0.018053263681739602,12
hypertension,0.014805288065249226,13
urea_creatinine_product,0.014279247610165908,14
blood_glucose_random,0.011622395351898225,15
bun_creatinine_ratio,0.005865194071843642,16
sodium,0.004706732503520878,17
blood_urea,0.004557796123716875,18
sugar,0.002173183765022274,19
bp_risk_score,0.0018899458993681666,20
blood_pressure,0.0016987380526448433,21
sodium_potassium_ratio,0.0010280176718597436,22
potassium,0.0009529469968890435,23
white_blood_cell_count,0.0006891625061950388,24
