feature,mean_abs_shap,rank
anemia_risk_score,1.7185086019337177,1
cardiovascular_burden_score,0.838610615208745,2
specific_gravity,0.7422904588282109,3
hemoglobin_creatinine_ratio,0.5712931362912059,4
age_creatinine_interaction,0.4974661462008953,5
albumin,0.3943629048764706,6
hemoglobin,0.35357953011989596,7
blood_glucose_random,0.2768181523308158,8
bun_creatinine_ratio,0.2534933089278638,9
serum_creatinine,0.2065011993749067,10
red_blood_cell_count,0.15254137301817533,11
sodium,0.12117945943027734,12
albumin_specific_gravity_interaction,0.08591560460627078,13
urea_creatinine_product,0.04770195959135883,14
sodium_potassium_ratio,0.0422902442514896,15
hypertension,0.03037271886132653,16
white_blood_cell_count,0.02735440081451084,17
blood_urea,0.01888503006775859,18
packed_cell_volume,0.007203003530594268,19
blood_pressure,0.005347356395941409,20
potassium,0.002691456151660474,21
diabetes_mellitus,0.0,22
bp_risk_score,0.0,23
