model,subset,n_features,inference_s,roc_auc,pr_auc,f1,mcc,balanced_acc,accuracy,sensitivity,specificity,precision,brier_score,tp,tn,fp,fn
CatBoost,All Features,23,0.0008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.691692360889044e-05,50,30,0,0
CatBoost,Top 20 SHAP,20,0.0004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.692813209314653e-05,50,30,0,0
CatBoost,Top 15 SHAP,15,0.0004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004865895117953621,50,30,0,0
CatBoost,Top 10 SHAP,10,0.0003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015567728057467526,50,30,0,0
CatBoost,Top 5 SHAP,5,0.0004,0.9833333333333334,0.9803921568627451,0.9900990099009901,0.973505222533836,0.9833333333333334,0.9875,1.0,0.9666666666666667,0.9803921568627451,0.021385982903761654,50,29,1,0
CatBoost,Top 3 SHAP,3,0.0004,0.8833333333333333,0.8771929824561403,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.23088006525392196,50,0,30,0
CatBoost,Clinical Baseline,7,0.0003,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
XGBoost,All Features,23,0.0008,0.983,0.9800078431372549,0.98,0.9466666666666667,0.9733333333333334,0.975,0.98,0.9666666666666667,0.98,0.023187272777687805,49,29,1,1
XGBoost,Top 20 SHAP,20,0.0006,0.983,0.9800078431372549,0.98,0.9466666666666667,0.9733333333333334,0.975,0.98,0.9666666666666667,0.98,0.023187272777687805,49,29,1,1
XGBoost,Top 15 SHAP,15,0.0006,0.983,0.9800078431372549,0.98,0.9466666666666667,0.9733333333333334,0.975,0.98,0.9666666666666667,0.98,0.024323116271559492,49,29,1,1
XGBoost,Top 10 SHAP,10,0.0005,0.983,0.9800078431372549,0.98,0.9466666666666667,0.9733333333333334,0.975,0.98,0.9666666666666667,0.98,0.018476710709953548,49,29,1,1
XGBoost,Top 5 SHAP,5,0.0005,0.9666666666666667,0.9615384615384616,0.970873786407767,0.9214426752509267,0.95,0.9625,1.0,0.9,0.9433962264150944,0.034708711133582114,50,27,3,0
XGBoost,Top 3 SHAP,3,0.0005,0.95,0.9433962264150944,0.9345794392523364,0.820069887194403,0.8833333333333333,0.9125,1.0,0.7666666666666667,0.8771929824561403,0.07903927970520659,50,23,7,0
XGBoost,Clinical Baseline,7,0.0006,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
RandomForest,All Features,24,0.0188,0.983,0.9800078431372549,0.9900990099009901,0.973505222533836,0.9833333333333334,0.9875,1.0,0.9666666666666667,0.9803921568627451,0.012914677034201752,50,29,1,0
RandomForest,Top 20 SHAP,20,0.014,0.983,0.9800078431372549,0.9900990099009901,0.973505222533836,0.9833333333333334,0.9875,1.0,0.9666666666666667,0.9803921568627451,0.012885996015085315,50,29,1,0
RandomForest,Top 15 SHAP,15,0.0138,0.983,0.9800078431372549,0.9900990099009901,0.973505222533836,0.9833333333333334,0.9875,1.0,0.9666666666666667,0.9803921568627451,0.012510989957003168,50,29,1,0
RandomForest,Top 10 SHAP,10,0.0137,0.9833333333333334,0.9803921568627451,0.9803921568627451,0.9473309334313418,0.9666666666666667,0.975,1.0,0.9333333333333333,0.9615384615384616,0.017239260365239605,50,28,2,0
RandomForest,Top 5 SHAP,5,0.0139,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
RandomForest,Top 3 SHAP,3,0.0138,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
RandomForest,Clinical Baseline,7,0.0137,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
LightGBM,All Features,23,0.0012,0.99,0.9924999999999999,0.98989898989899,0.9738516810963534,0.99,0.9875,0.98,1.0,1.0,0.0125,49,30,0,1
LightGBM,Top 20 SHAP,20,0.0019,0.99,0.9924999999999999,0.98989898989899,0.9738516810963534,0.99,0.9875,0.98,1.0,1.0,0.0125,49,30,0,1
LightGBM,Top 15 SHAP,15,0.0017,0.99,0.9924999999999999,0.98989898989899,0.9738516810963534,0.99,0.9875,0.98,1.0,1.0,0.0125,49,30,0,1
LightGBM,Top 10 SHAP,10,0.0009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015986992546051727,50,30,0,0
LightGBM,Top 5 SHAP,5,0.0018,0.9666666666666667,0.9615384615384616,0.9803921568627451,0.9473309334313418,0.9666666666666667,0.975,1.0,0.9333333333333333,0.9615384615384616,0.025,50,28,2,0
LightGBM,Top 3 SHAP,3,0.0007,0.8833333333333333,0.8771929824561403,0.847457627118644,0.5423261445466405,0.7,0.775,1.0,0.4,0.7352941176470589,0.16608488422334716,50,12,18,0
LightGBM,Clinical Baseline,7,0.0006,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
LogisticRegression,All Features,24,0.0003,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
LogisticRegression,Top 20 SHAP,20,0.0003,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
LogisticRegression,Top 15 SHAP,15,0.0003,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
LogisticRegression,Top 10 SHAP,10,0.0002,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
LogisticRegression,Top 5 SHAP,5,0.0002,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
LogisticRegression,Top 3 SHAP,3,0.0003,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
LogisticRegression,Clinical Baseline,7,0.0003,0.5,0.625,0.7692307692307693,0.0,0.5,0.625,1.0,0.0,0.625,0.375,50,0,30,0
