threshold,sensitivity,specificity,precision,f1,mcc,accuracy,balanced_accuracy
0.01,1.0,0.0092,0.115,0.2063,0.0325,0.1222,0.5046
0.02,1.0,0.0207,0.1162,0.2082,0.049,0.1324,0.5103
0.03,1.0,0.0207,0.1162,0.2082,0.049,0.1324,0.5103
0.04,1.0,0.0207,0.1162,0.2082,0.049,0.1324,0.5103
0.05,1.0,0.0207,0.1162,0.2082,0.049,0.1324,0.5103
0.06,1.0,0.0207,0.1162,0.2082,0.049,0.1324,0.5103
0.07,1.0,0.0207,0.1162,0.2082,0.049,0.1324,0.5103
0.08,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.09,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.1,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.11,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.12,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.13,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.14,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.15,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.16,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.17,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.18,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.19,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.2,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.21,1.0,0.023,0.1164,0.2086,0.0517,0.1344,0.5115
0.22,1.0,0.0253,0.1167,0.209,0.0543,0.1365,0.5126
0.23,1.0,0.0253,0.1167,0.209,0.0543,0.1365,0.5126
0.24,1.0,0.0253,0.1167,0.209,0.0543,0.1365,0.5126
0.25,1.0,0.0253,0.1167,0.209,0.0543,0.1365,0.5126
0.26,1.0,0.0253,0.1167,0.209,0.0543,0.1365,0.5126
0.27,1.0,0.0276,0.1169,0.2093,0.0568,0.1385,0.5138
0.28,1.0,0.0276,0.1169,0.2093,0.0568,0.1385,0.5138
0.29,1.0,0.0299,0.1172,0.2097,0.0592,0.1405,0.5149
0.3,1.0,0.0345,0.1176,0.2105,0.0637,0.1446,0.5172
0.31,1.0,0.0391,0.1181,0.2113,0.0679,0.1487,0.5195
0.32,1.0,0.0391,0.1181,0.2113,0.0679,0.1487,0.5195
0.33,1.0,0.0414,0.1184,0.2117,0.07,0.1507,0.5207
0.34,1.0,0.0437,0.1186,0.2121,0.072,0.1527,0.5218
0.35,1.0,0.0506,0.1194,0.2133,0.0777,0.1589,0.5253
0.36,1.0,0.0506,0.1194,0.2133,0.0777,0.1589,0.5253
0.37,1.0,0.0529,0.1197,0.2137,0.0795,0.1609,0.5264
0.38,1.0,0.0529,0.1197,0.2137,0.0795,0.1609,0.5264
0.39,1.0,0.0552,0.1199,0.2141,0.0813,0.1629,0.5276
0.4,1.0,0.0552,0.1199,0.2141,0.0813,0.1629,0.5276
0.41,1.0,0.0552,0.1199,0.2141,0.0813,0.1629,0.5276
0.42,1.0,0.0552,0.1199,0.2141,0.0813,0.1629,0.5276
0.43,1.0,0.0552,0.1199,0.2141,0.0813,0.1629,0.5276
0.44,1.0,0.0575,0.1202,0.2146,0.0831,0.165,0.5287
0.45,1.0,0.0598,0.1204,0.215,0.0848,0.167,0.5299
0.46,1.0,0.0621,0.1207,0.2154,0.0866,0.169,0.531
0.47,1.0,0.0667,0.1212,0.2162,0.0899,0.1731,0.5333
0.48,1.0,0.069,0.1215,0.2166,0.0915,0.1752,0.5345
0.49,1.0,0.069,0.1215,0.2166,0.0915,0.1752,0.5345
0.5,1.0,0.0759,0.1223,0.2179,0.0963,0.1813,0.5379
0.51,1.0,0.0782,0.1225,0.2183,0.0979,0.1833,0.5391
0.52,1.0,0.0782,0.1225,0.2183,0.0979,0.1833,0.5391
0.53,1.0,0.0805,0.1228,0.2188,0.0994,0.1853,0.5402
0.54,1.0,0.0828,0.1231,0.2192,0.1009,0.1874,0.5414
0.55,1.0,0.0851,0.1233,0.2196,0.1024,0.1894,0.5425
0.56,1.0,0.0897,0.1239,0.2205,0.1054,0.1935,0.5448
0.57,1.0,0.0943,0.1244,0.2213,0.1083,0.1976,0.5471
0.58,1.0,0.0943,0.1244,0.2213,0.1083,0.1976,0.5471
0.59,1.0,0.0966,0.1247,0.2218,0.1097,0.1996,0.5483
0.6,1.0,0.0989,0.125,0.2222,0.1112,0.2016,0.5494
0.61,1.0,0.1011,0.1253,0.2227,0.1126,0.2037,0.5506
0.62,1.0,0.1011,0.1253,0.2227,0.1126,0.2037,0.5506
0.63,1.0,0.1034,0.1256,0.2231,0.114,0.2057,0.5517
0.64,1.0,0.108,0.1261,0.224,0.1167,0.2098,0.554
0.65,1.0,0.1103,0.1264,0.2244,0.1181,0.2118,0.5552
0.66,1.0,0.1126,0.1267,0.2249,0.1195,0.2138,0.5563
0.67,1.0,0.1195,0.1276,0.2263,0.1235,0.22,0.5598
0.68,1.0,0.1218,0.1279,0.2267,0.1248,0.222,0.5609
0.69,1.0,0.1241,0.1281,0.2272,0.1261,0.224,0.5621
0.7,1.0,0.1241,0.1281,0.2272,0.1261,0.224,0.5621
0.71,1.0,0.1264,0.1284,0.2276,0.1274,0.2261,0.5632
0.72,1.0,0.1333,0.1293,0.229,0.1313,0.2322,0.5667
0.73,1.0,0.1379,0.1299,0.23,0.1339,0.2363,0.569
0.74,1.0,0.1379,0.1299,0.23,0.1339,0.2363,0.569
0.75,1.0,0.1379,0.1299,0.23,0.1339,0.2363,0.569
0.76,1.0,0.1471,0.1311,0.2319,0.1389,0.2444,0.5736
0.77,1.0,0.1494,0.1315,0.2324,0.1402,0.2464,0.5747
0.78,1.0,0.1517,0.1318,0.2328,0.1414,0.2485,0.5759
0.79,1.0,0.154,0.1321,0.2333,0.1426,0.2505,0.577
0.8,1.0,0.1586,0.1327,0.2343,0.1451,0.2546,0.5793
0.81,1.0,0.177,0.1353,0.2383,0.1547,0.2709,0.5885
0.82,1.0,0.1885,0.1369,0.2409,0.1607,0.2811,0.5943
0.83,1.0,0.1931,0.1376,0.2419,0.163,0.2851,0.5966
0.84,1.0,0.2,0.1386,0.2435,0.1665,0.2912,0.6
0.85,1.0,0.2115,0.1404,0.2462,0.1723,0.3014,0.6057
0.86,1.0,0.2207,0.1418,0.2483,0.1769,0.3096,0.6103
0.87,1.0,0.2276,0.1429,0.25,0.1803,0.3157,0.6138
0.88,1.0,0.2322,0.1436,0.2511,0.1826,0.3198,0.6161
0.89,1.0,0.2391,0.1447,0.2528,0.186,0.3259,0.6195
0.9,1.0,0.2552,0.1474,0.2569,0.1939,0.3401,0.6276
0.91,1.0,0.2552,0.1474,0.2569,0.1939,0.3401,0.6276
