iter	Passed	Remaining
0	0	87
1	0	84
2	0	76
3	1	80
4	1	89
5	1	88
6	2	88
7	2	87
8	2	84
9	2	83
10	3	82
11	3	79
12	3	79
13	3	79
14	4	78
15	4	78
16	4	78
17	5	78
18	5	79
19	5	78
20	5	78
21	6	77
22	6	77
23	6	76
24	6	75
25	7	74
26	7	74
27	7	74
28	7	74
29	8	73
30	8	73
31	8	73
32	9	73
33	9	73
34	9	73
35	9	72
36	10	72
37	10	71
38	10	72
39	11	72
40	11	71
41	11	71
42	11	70
43	12	70
44	12	70
45	12	69
46	12	69
47	13	69
48	13	70
49	13	69
50	14	69
51	14	69
52	14	69
53	15	68
54	15	68
55	15	68
56	15	67
57	15	66
58	16	66
59	16	66
60	16	65
61	17	65
62	17	65
63	17	65
64	18	65
65	18	65
66	18	64
67	18	64
68	19	64
69	19	64
70	19	64
71	20	63
72	20	64
73	21	64
74	21	64
75	21	64
76	22	64
77	22	64
78	22	63
79	23	63
80	23	62
81	23	62
82	23	61
83	23	61
84	24	61
85	24	61
86	24	60
87	25	60
88	25	60
89	25	59
90	25	59
91	26	59
92	26	59
93	26	58
94	27	58
95	27	58
96	27	58
97	28	57
98	28	57
99	28	57
100	29	57
101	29	56
102	29	56
103	29	56
104	30	56
105	30	55
106	30	55
107	31	55
108	31	55
109	31	54
110	31	54
111	32	54
112	32	53
113	32	53
114	33	53
115	33	53
116	33	52
117	34	52
118	34	52
119	34	51
120	34	51
121	35	51
122	35	51
123	35	50
124	36	50
125	36	50
126	36	49
127	37	49
128	37	49
129	37	49
130	38	49
131	38	48
132	38	48
133	39	48
134	39	48
135	39	47
136	39	47
137	40	47
138	40	47
139	40	46
140	41	46
141	41	46
142	41	45
143	42	45
144	42	45
145	42	44
146	42	44
147	43	44
148	43	44
149	43	43
150	44	43
151	44	43
152	44	42
153	45	42
154	45	42
155	45	42
156	45	41
157	46	41
158	46	41
159	46	40
160	47	40
161	47	40
162	47	40
163	48	39
164	48	39
165	48	39
166	48	38
167	49	38
168	49	38
169	49	38
170	50	37
171	50	37
172	50	37
173	51	36
174	51	36
175	51	36
176	52	36
177	52	35
178	52	35
179	52	35
180	53	34
181	53	34
182	53	34
183	54	34
184	54	33
185	54	33
186	55	33
187	55	32
188	55	32
189	55	32
190	56	32
191	56	31
192	56	31
193	57	31
194	57	30
195	57	30
196	57	30
197	58	30
198	58	29
199	58	29
200	59	29
201	59	28
202	59	28
203	59	28
204	60	27
205	60	27
206	60	27
207	61	27
208	61	26
209	61	26
210	62	26
211	62	25
212	62	25
213	62	25
214	63	24
215	63	24
216	63	24
217	64	24
218	64	23
219	64	23
220	65	23
221	65	22
222	65	22
223	65	22
224	66	22
225	66	21
226	66	21
227	67	21
228	67	20
229	67	20
230	67	20
231	68	20
232	68	19
233	68	19
234	69	19
235	69	18
236	69	18
237	70	18
238	70	17
239	70	17
240	71	17
241	71	17
242	71	16
243	71	16
244	72	16
245	72	15
246	72	15
247	73	15
248	73	15
249	73	14
250	74	14
251	74	14
252	74	13
253	74	13
254	75	13
255	75	12
256	75	12
257	76	12
258	76	12
259	76	11
260	76	11
261	77	11
262	77	10
263	77	10
264	78	10
265	78	10
266	78	9
267	79	9
268	79	9
269	79	8
270	79	8
271	80	8
272	80	7
273	80	7
274	81	7
275	81	7
276	81	6
277	82	6
278	82	6
279	82	5
280	82	5
281	83	5
282	83	5
283	83	4
284	84	4
285	84	4
286	84	3
287	84	3
288	85	3
289	85	2
290	85	2
291	86	2
292	86	2
293	86	1
294	86	1
295	87	1
296	87	0
297	87	0
298	88	0
299	88	0
